started_at,finished_at,room,user_id
2023-04-10 14:51:06,2023-04-10 14:51:51,kitchen,97
2023-04-10 14:51:52,2023-04-10 14:52:02,cafeteria,97
2023-04-10 14:52:03,2023-04-10 15:02:08,nurse station,97
2023-04-10 15:02:12,2023-04-10 15:02:31,hallway,97
2023-04-10 15:02:34,2023-04-10 15:22:09,523,97
2023-04-10 15:22:13,2023-04-10 15:22:29,hallway,97
2023-04-10 15:22:33,2023-04-10 15:22:40,cleaning,97
2023-04-10 15:22:42,2023-04-10 15:22:44,hallway,97
2023-04-10 15:22:47,2023-04-10 15:23:08,cafeteria,97
2023-04-10 15:23:11,2023-04-10 15:23:20,hallway,97
2023-04-10 15:23:18,2023-04-10 15:30:08,nurse station,97
2023-04-10 15:30:12,2023-04-10 15:30:22,cafeteria,97
2023-04-10 15:30:25,2023-04-10 15:30:37,nurse station,97
2023-04-10 15:30:40,2023-04-10 15:30:51,cafeteria,97
2023-04-10 15:30:54,2023-04-10 15:31:29,nurse station,97
2023-04-10 15:31:31,2023-04-10 15:31:41,hallway,97
2023-04-10 15:31:47,2023-04-10 15:35:08,523,97
2023-04-10 15:35:12,2023-04-10 15:35:29,hallway,97
2023-04-10 15:35:30,2023-04-10 15:44:47,523,97
2023-04-10 15:44:50,2023-04-10 15:45:03,hallway,97
2023-04-10 15:45:09,2023-04-10 15:45:38,kitchen,97
2023-04-10 15:45:47,2023-04-10 15:46:06,cafeteria,97
2023-04-10 15:45:52,2023-04-10 15:48:18,nurse station,97
2023-04-10 15:48:21,2023-04-10 15:49:28,cafeteria,97
2023-04-10 15:49:32,2023-04-10 16:00:54,nurse station,97
2023-04-10 16:01:28,2023-04-10 16:01:28,kitchen,97
2023-04-10 16:01:45,2023-04-10 16:01:48,hallway,97
2023-04-10 16:01:53,2023-04-10 16:03:55,cafeteria,97
2023-04-10 16:03:59,2023-04-10 16:05:12,nurse station,97
2023-04-10 16:05:16,2023-04-10 16:05:18,cafeteria,97
2023-04-10 16:05:21,2023-04-10 16:05:28,hallway,97
2023-04-10 16:05:30,2023-04-10 16:05:47,516,97
2023-04-10 16:05:52,2023-04-10 16:05:59,hallway,97
2023-04-10 16:06:04,2023-04-10 16:07:38,cafeteria,97
2023-04-10 16:07:43,2023-04-10 16:11:09,nurse station,97
2023-04-10 16:11:14,2023-04-10 16:11:17,hallway,97
2023-04-10 16:11:21,2023-04-10 16:11:47,cafeteria,97
2023-04-10 16:11:21,2023-04-10 16:11:47,508,97
2023-04-10 16:11:36,2023-04-10 16:14:13,508,97
2023-04-10 16:14:00,2023-04-10 16:14:00,hallway,97
2023-04-10 16:14:17,2023-04-10 16:14:29,hallway,97
2023-04-10 16:14:36,2023-04-10 16:14:43,cafeteria,97
2023-04-10 16:14:46,2023-04-10 16:18:11,kitchen,97
2023-04-10 16:18:15,2023-04-10 16:18:26,cafeteria,97
2023-04-10 16:18:29,2023-04-10 16:18:30,nurse station,97
2023-04-10 16:18:38,2023-04-10 16:19:50,cafeteria,97
2023-04-10 16:19:54,2023-04-10 16:20:28,nurse station,97
2023-04-10 16:20:30,2023-04-10 16:20:45,cafeteria,97
2023-04-10 16:20:47,2023-04-10 16:20:49,kitchen,97
2023-04-10 16:20:52,2023-04-10 16:21:09,cafeteria,97
2023-04-10 16:21:11,2023-04-10 16:21:13,kitchen,97
2023-04-10 16:21:16,2023-04-10 16:21:19,cafeteria,97
2023-04-10 16:21:22,2023-04-10 16:38:15,nurse station,97
2023-04-10 16:38:20,2023-04-10 16:39:08,cafeteria,97
2023-04-10 16:39:13,2023-04-10 16:39:24,kitchen,97
2023-04-10 16:39:28,2023-04-10 16:39:51,cafeteria,97
2023-04-10 16:39:55,2023-04-10 16:40:58,kitchen,97
2023-04-10 16:41:00,2023-04-10 16:42:06,cafeteria,97
2023-04-10 16:42:12,2023-04-10 16:42:17,kitchen,97
2023-04-10 16:42:19,2023-04-10 16:43:23,cafeteria,97
2023-04-10 16:43:26,2023-04-10 16:48:21,kitchen,97
2023-04-10 16:48:26,2023-04-10 16:49:04,cafeteria,97
2023-04-10 16:49:06,2023-04-10 16:49:17,hallway,97
2023-04-10 16:49:21,2023-04-10 16:50:13,523,97
2023-04-10 16:50:15,2023-04-10 16:56:22,hallway,97
2023-04-10 16:56:25,2023-04-10 16:58:34,nurse station,97
2023-04-10 16:58:38,2023-04-10 16:58:48,cafeteria,97
2023-04-10 16:58:51,2023-04-10 16:59:25,kitchen,97
2023-04-10 16:59:30,2023-04-10 17:05:23,cafeteria,97
2023-04-10 17:05:26,2023-04-10 17:05:46,nurse station,97
2023-04-10 17:05:51,2023-04-10 17:06:04,cafeteria,97
2023-04-10 17:06:15,2023-04-10 17:09:26,hallway,97
2023-04-10 17:09:29,2023-04-10 17:10:42,nurse station,97
2023-04-10 17:10:47,2023-04-10 17:12:16,kitchen,97
2023-04-10 17:12:19,2023-04-10 17:27:29,cafeteria,97
2023-04-10 17:27:34,2023-04-10 17:27:43,hallway,97
2023-04-10 17:27:45,2023-04-10 17:30:41,523,97
2023-04-10 17:30:46,2023-04-10 17:30:51,hallway,97
2023-04-10 17:30:57,2023-04-10 17:31:03,nurse station,97
2023-04-11 14:03:41,2023-04-11 14:11:46,kitchen,97
2023-04-11 14:11:54,2023-04-11 14:14:45,cafeteria,97
2023-04-11 14:14:54,2023-04-11 14:15:00,kitchen,97
2023-04-11 14:15:05,2023-04-11 14:15:08,cafeteria,97
2023-04-11 14:15:12,2023-04-11 14:15:59,nurse station,97
2023-04-11 14:16:38,2023-04-11 14:18:49,511,97
2023-04-11 14:19:24,2023-04-11 14:19:34,cleaning,97
2023-04-11 14:19:43,2023-04-11 14:20:09,nurse station,97
2023-04-11 14:20:11,2023-04-11 14:26:45,512,97
2023-04-11 14:27:16,2023-04-11 14:27:38,kitchen,97
2023-04-11 14:27:53,2023-04-11 14:27:55,cleaning,97
2023-04-11 14:28:17,2023-04-11 14:28:36,nurse station,97
2023-04-11 14:28:54,2023-04-11 14:31:04,520,97
2023-04-11 14:31:47,2023-04-11 14:31:48,cleaning,97
2023-04-11 14:32:32,2023-04-11 14:32:36,cafeteria,97
2023-04-11 14:33:18,2023-04-11 14:36:42,kitchen,97
2023-04-11 14:37:20,2023-04-11 14:37:30,nurse station,97
2023-04-11 14:38:02,2023-04-11 14:38:24,522,97
2023-04-11 14:38:31,2023-04-11 14:39:04,511,97
2023-04-11 14:39:33,2023-04-11 14:41:43,nurse station,97
2023-04-11 14:42:39,2023-04-11 14:43:51,nurse station,97
2023-04-11 14:44:19,2023-04-11 14:44:51,cafeteria,97
2023-04-11 14:44:55,2023-04-11 14:44:56,cafeteria,97
2023-04-11 14:45:04,2023-04-11 14:47:10,kitchen,97
2023-04-11 14:47:37,2023-04-11 14:49:09,nurse station,97
2023-04-11 14:49:56,2023-04-11 14:54:44,nurse station,97
2023-04-11 14:55:08,2023-04-11 14:55:21,cafeteria,97
2023-04-11 14:55:52,2023-04-11 14:55:56,hallway,97
2023-04-11 14:56:02,2023-04-11 14:56:28,502,97
2023-04-11 14:56:37,2023-04-11 14:56:49,516,97
2023-04-11 14:57:10,2023-04-11 14:57:14,518,97
2023-04-11 14:58:05,2023-04-11 14:59:34,nurse station,97
2023-04-11 14:59:53,2023-04-11 15:00:12,513,97
2023-04-11 15:00:31,2023-04-11 15:00:32,hallway,97
2023-04-11 15:01:00,2023-04-11 15:15:13,nurse station,97
2023-04-11 15:15:22,2023-04-11 15:22:06,522,97
2023-04-11 15:22:07,2023-04-11 15:22:19,nurse station,97
2023-04-11 15:22:25,2023-04-11 15:22:43,cleaning,97
2023-04-11 15:22:46,2023-04-11 15:23:12,cafeteria,97
2023-04-11 15:23:13,2023-04-11 15:23:29,kitchen,97
2023-04-11 15:23:41,2023-04-11 15:23:56,hallway,97
2023-04-11 15:23:56,2023-04-11 15:24:14,cafeteria,97
2023-04-11 15:24:15,2023-04-11 15:27:05,nurse station,97
2023-04-11 15:27:19,2023-04-11 15:27:24,522,97
2023-04-11 15:27:28,2023-04-11 15:27:30,523,97
2023-04-11 15:27:43,2023-04-11 15:29:21,cafeteria,97
2023-04-11 15:29:25,2023-04-11 15:32:48,cleaning,97
2023-04-11 15:32:59,2023-04-11 15:36:13,nurse station,97
2023-04-11 15:44:47,2023-04-11 15:49:23,nurse station,97
2023-04-11 15:49:37,2023-04-11 15:51:30,522,97
2023-04-11 15:51:45,2023-04-11 15:52:07,cafeteria,97
2023-04-11 15:52:13,2023-04-11 16:17:35,nurse station,97
2023-04-11 16:17:48,2023-04-11 16:20:24,cleaning,97
2023-04-11 16:21:01,2023-04-11 16:22:21,kitchen,97
2023-04-11 16:22:03,2023-04-11 16:24:41,cafeteria,97
2023-04-11 16:24:43,2023-04-11 16:41:57,kitchen,97
2023-04-11 16:42:06,2023-04-11 16:43:44,nurse station,97
2023-04-11 16:44:02,2023-04-11 16:45:39,kitchen,97
2023-04-11 16:45:44,2023-04-11 16:45:57,cafeteria,97
2023-04-11 16:46:00,2023-04-11 16:46:31,kitchen,97
2023-04-11 16:46:51,2023-04-11 16:48:06,nurse station,97
2023-04-11 16:48:33,2023-04-11 16:50:21,cafeteria,97
2023-04-11 16:50:28,2023-04-11 16:52:07,nurse station,97
2023-04-11 16:52:24,2023-04-11 16:52:49,517,97
2023-04-11 16:53:47,2023-04-11 16:54:13,cafeteria,97
2023-04-11 16:54:20,2023-04-11 16:55:09,nurse station,97
2023-04-11 16:55:24,2023-04-11 16:55:26,520,97
2023-04-11 16:55:43,2023-04-11 16:57:07,523,97
2023-04-11 17:00:41,2023-04-11 17:00:50,kitchen,97
2023-04-11 17:00:58,2023-04-11 17:10:00,cafeteria,97
2023-04-11 17:12:00,2023-04-11 17:15:25,cafeteria,97
2023-04-11 17:15:26,2023-04-11 17:15:37,kitchen,97
2023-04-11 17:15:40,2023-04-11 17:19:09,cafeteria,97
2023-04-11 17:19:23,2023-04-11 17:31:34,523,97
2023-04-12 10:00:53,2023-04-12 10:05:53,cafeteria,97
2023-04-12 10:05:54,2023-04-12 10:07:24,nurse station,97
2023-04-12 10:07:44,2023-04-12 10:08:44,502,97
2023-04-12 10:09:21,2023-04-12 10:10:54,nurse station,97
2023-04-12 10:11:05,2023-04-12 10:19:13,520,97
2023-04-12 10:19:26,2023-04-12 10:19:51,cafeteria,97
2023-04-12 10:19:52,2023-04-12 10:20:13,cleaning,97
2023-04-12 10:20:24,2023-04-12 10:23:15,cafeteria,97
2023-04-12 10:23:52,2023-04-12 10:24:54,512,97
2023-04-12 10:23:52,2023-04-12 10:24:54,523,97
2023-04-12 10:24:00,2023-04-12 10:25:00,512,97
2023-04-12 10:25:10,2023-04-12 10:26:54,nurse station,97
2023-04-12 10:27:10,2023-04-12 10:38:33,523,97
2023-04-12 10:38:49,2023-04-12 10:38:56,nurse station,97
2023-04-12 10:39:09,2023-04-12 10:52:38,523,97
2023-04-12 10:39:09,2023-04-12 10:52:38,513,97
2023-04-12 10:52:59,2023-04-12 10:55:38,cleaning,97
2023-04-12 10:55:57,2023-04-12 11:04:06,513,97
2023-04-12 11:04:17,2023-04-12 11:04:37,cafeteria,97
2023-04-12 11:04:44,2023-04-12 11:04:51,nurse station,97
2023-04-12 11:05:08,2023-04-12 11:10:06,515,97
2023-04-12 11:11:33,2023-04-12 11:15:14,501,97
2023-04-12 11:16:11,2023-04-12 11:16:20,cleaning,97
2023-04-12 11:16:49,2023-04-12 11:20:44,503,97
2023-04-12 11:21:11,2023-04-12 11:21:25,cafeteria,97
2023-04-12 11:21:28,2023-04-12 11:22:03,cleaning,97
2023-04-12 11:22:19,2023-04-12 11:22:45,nurse station,97
2023-04-12 11:23:00,2023-04-12 11:26:46,511,97
2023-04-12 11:27:07,2023-04-12 11:27:42,cafeteria,97
2023-04-12 11:27:49,2023-04-12 11:27:55,cleaning,97
2023-04-12 11:28:00,2023-04-12 11:28:30,nurse station,97
2023-04-12 11:28:31,2023-04-12 11:33:12,522,97
2023-04-12 11:33:23,2023-04-12 11:34:42,cafeteria,97
2023-04-12 11:34:45,2023-04-12 11:35:00,cleaning,97
2023-04-12 11:35:05,2023-04-12 11:35:26,nurse station,97
2023-04-12 11:36:10,2023-04-12 11:43:45,512,97
2023-04-12 11:44:41,2023-04-12 11:44:41,cleaning,97
2023-04-12 11:44:47,2023-04-12 11:46:44,nurse station,97
2023-04-12 11:45:36,2023-04-12 11:55:40,kitchen,97
2023-04-12 11:55:46,2023-04-12 12:32:54,523,97
2023-04-12 12:22:36,2023-04-12 12:22:36,cafeteria,97
2023-04-12 12:33:26,2023-04-12 12:33:48,cafeteria,97
2023-04-12 12:34:06,2023-04-12 12:36:22,520,97
2023-04-12 12:36:34,2023-04-12 12:36:48,cafeteria,97
2023-04-12 12:36:52,2023-04-12 12:39:15,kitchen,97
2023-04-12 12:39:18,2023-04-12 12:39:35,cafeteria,97
2023-04-12 12:39:36,2023-04-12 12:40:23,kitchen,97
2023-04-12 12:40:32,2023-04-12 12:41:28,cafeteria,97
2023-04-12 12:41:35,2023-04-12 12:46:52,nurse station,97
2023-04-12 12:47:00,2023-04-12 12:53:16,523,97
2023-04-12 12:53:00,2023-04-12 12:54:00,nurse station,97
2023-04-12 14:38:56,2023-04-12 14:40:46,kitchen,97
2023-04-12 14:43:46,2023-04-12 14:56:04,cleaning,97
2023-04-12 14:51:31,2023-04-12 14:52:19,hallway,97
2023-04-12 14:52:58,2023-04-12 14:56:08,cafeteria,97
2023-04-12 14:55:05,2023-04-12 14:58:21,kitchen,97
2023-04-12 15:02:30,2023-04-12 15:02:33,505,97
2023-04-12 15:02:48,2023-04-12 15:07:38,hallway,97
2023-04-12 15:06:56,2023-04-12 15:07:36,cafeteria,97
2023-04-12 15:07:42,2023-04-12 15:10:07,hallway,97
2023-04-12 15:10:13,2023-04-12 15:10:21,nurse station,97
2023-04-12 15:10:53,2023-04-12 15:12:45,hallway,97
2023-04-12 15:13:30,2023-04-12 15:14:33,kitchen,97
2023-04-12 15:14:53,2023-04-12 15:15:15,502,97
2023-04-12 15:15:23,2023-04-12 15:17:33,506,97
2023-04-12 15:17:50,2023-04-12 15:21:45,nurse station,97
2023-04-12 15:21:57,2023-04-12 15:26:34,502,97
2023-04-12 15:27:27,2023-04-12 15:27:41,cafeteria,97
2023-04-12 15:27:46,2023-04-12 15:29:45,kitchen,97
2023-04-12 15:29:55,2023-04-12 15:37:03,523,97
2023-04-12 15:37:26,2023-04-12 15:37:37,nurse station,97
2023-04-12 15:37:49,2023-04-12 15:38:25,523,97
2023-04-12 15:38:39,2023-04-12 15:38:49,nurse station,97
2023-04-12 15:38:50,2023-04-12 15:39:12,cafeteria,97
2023-04-12 15:50:19,2023-04-12 15:50:33,503,97
2023-04-12 15:50:41,2023-04-12 15:50:58,506,97
2023-04-12 15:51:15,2023-04-12 15:51:40,cleaning,97
2023-04-12 15:51:48,2023-04-12 15:53:06,cafeteria,97
2023-04-12 15:53:08,2023-04-12 15:54:01,nurse station,97
2023-04-12 15:54:06,2023-04-12 15:57:40,cafeteria,97
2023-04-12 15:57:41,2023-04-12 16:01:08,nurse station,97
2023-04-12 16:01:09,2023-04-12 16:03:07,cafeteria,97
2023-04-12 16:03:08,2023-04-12 16:13:31,kitchen,97
2023-04-12 16:13:37,2023-04-12 16:23:09,cafeteria,97
2023-04-12 16:23:17,2023-04-12 16:23:55,518,97
2023-04-12 16:23:57,2023-04-12 16:24:03,cafeteria,97
2023-04-12 16:24:04,2023-04-12 16:25:01,nurse station,97
2023-04-12 16:25:06,2023-04-12 16:25:40,cafeteria,97
2023-04-12 16:25:42,2023-04-12 16:36:09,kitchen,97
2023-04-12 16:36:11,2023-04-12 16:36:13,cafeteria,97
2023-04-12 16:36:50,2023-04-12 16:39:56,nurse station,97
2023-04-12 16:40:18,2023-04-12 16:40:19,kitchen,97
2023-04-12 16:41:13,2023-04-12 16:41:29,cafeteria,97
2023-04-12 16:42:32,2023-04-12 16:42:33,517,97
2023-04-12 16:42:47,2023-04-12 16:47:06,513,97
2023-04-12 16:47:53,2023-04-12 16:48:41,nurse station,97
2023-04-12 16:50:03,2023-04-12 16:53:45,nurse station,97
2023-04-12 16:53:58,2023-04-12 16:53:59,521,97
2023-04-12 16:54:36,2023-04-12 16:54:54,nurse station,97
2023-04-12 16:55:09,2023-04-12 17:07:30,kitchen,97
2023-04-12 16:56:17,2023-04-12 16:59:39,kitchen,97
2023-04-12 17:08:08,2023-04-12 17:29:00,kitchen,97
2023-04-12 17:29:07,2023-04-12 17:29:25,nurse station,97
2023-04-13 10:09:31,2023-04-13 10:10:14,kitchen,97
2023-04-13 10:10:00,2023-04-13 10:14:58,515,97
2023-04-13 10:15:17,2023-04-13 10:15:40,cafeteria,97
2023-04-13 10:15:39,2023-04-13 10:18:42,nurse station,97
2023-04-13 10:18:47,2023-04-13 10:19:05,kitchen,97
2023-04-13 10:19:18,2023-04-13 10:19:39,508,97
2023-04-13 10:19:47,2023-04-13 10:19:52,cafeteria,97
2023-04-13 10:19:56,2023-04-13 10:20:34,kitchen,97
2023-04-13 10:20:42,2023-04-13 10:22:01,nurse station,97
2023-04-13 10:22:20,2023-04-13 10:25:14,506,97
2023-04-13 10:25:35,2023-04-13 10:25:45,cleaning,97
2023-04-13 10:25:51,2023-04-13 10:30:00,nurse station,97
2023-04-13 10:30:57,2023-04-13 10:34:01,501,97
2023-04-13 10:34:28,2023-04-13 10:37:19,cafeteria,97
2023-04-13 10:34:45,2023-04-13 10:35:58,kitchen,97
2023-04-13 10:37:19,2023-04-13 10:37:48,kitchen,97
2023-04-13 10:37:49,2023-04-13 10:38:38,cafeteria,97
2023-04-13 10:38:39,2023-04-13 10:40:28,nurse station,97
2023-04-13 10:40:41,2023-04-13 10:41:11,508,97
2023-04-13 10:41:14,2023-04-13 10:45:34,520,97
2023-04-13 10:45:47,2023-04-13 10:46:05,cleaning,97
2023-04-13 10:46:08,2023-04-13 10:47:02,cafeteria,97
2023-04-13 10:47:04,2023-04-13 10:48:15,kitchen,97
2023-04-13 10:48:17,2023-04-13 10:48:53,cafeteria,97
2023-04-13 10:49:03,2023-04-13 10:49:28,cleaning,97
2023-04-13 10:49:34,2023-04-13 10:49:39,cafeteria,97
2023-04-13 10:49:40,2023-04-13 10:50:12,kitchen,97
2023-04-13 10:50:13,2023-04-13 10:50:19,cafeteria,97
2023-04-13 10:50:20,2023-04-13 10:52:01,cleaning,97
2023-04-13 10:52:02,2023-04-13 10:52:15,cafeteria,97
2023-04-13 10:52:30,2023-04-13 10:53:14,508,97
2023-04-13 10:53:20,2023-04-13 10:55:58,510,97
2023-04-13 10:56:10,2023-04-13 10:56:18,cafeteria,97
2023-04-13 10:56:19,2023-04-13 10:58:24,kitchen,97
2023-04-13 10:58:28,2023-04-13 10:59:46,cafeteria,97
2023-04-13 10:59:47,2023-04-13 11:00:09,kitchen,97
2023-04-13 11:00:10,2023-04-13 11:00:18,cafeteria,97
2023-04-13 11:00:18,2023-04-13 11:00:56,nurse station,97
2023-04-13 11:01:14,2023-04-13 11:01:42,505,97
2023-04-13 11:01:43,2023-04-13 11:08:05,513,97
2023-04-13 11:08:29,2023-04-13 11:09:06,cafeteria,97
2023-04-13 11:09:07,2023-04-13 11:15:06,nurse station,97
2023-04-13 11:15:07,2023-04-13 11:17:10,cafeteria,97
2023-04-13 11:17:14,2023-04-13 11:17:36,kitchen,97
2023-04-13 11:17:38,2023-04-13 11:19:20,cafeteria,97
2023-04-13 11:19:35,2023-04-13 11:21:13,517,97
2023-04-13 11:21:26,2023-04-13 11:21:30,cafeteria,97
2023-04-13 11:21:31,2023-04-13 11:21:45,kitchen,97
2023-04-13 11:21:45,2023-04-13 11:22:01,cafeteria,97
2023-04-13 11:22:09,2023-04-13 11:23:36,518,97
2023-04-13 11:23:59,2023-04-13 11:24:51,cleaning,97
2023-04-13 11:24:58,2023-04-13 11:29:58,nurse station,97
2023-04-13 11:30:46,2023-04-13 11:32:05,kitchen,97
2023-04-13 11:32:14,2023-04-13 11:35:38,nurse station,97
2023-04-13 11:35:40,2023-04-13 11:41:58,kitchen,97
2023-04-13 11:44:10,2023-04-13 11:52:41,kitchen,97
2023-04-13 11:52:44,2023-04-13 11:52:50,cafeteria,97
2023-04-13 11:53:02,2023-04-13 11:58:51,kitchen,97
2023-04-13 11:59:43,2023-04-13 12:32:25,523,97
2023-04-13 12:32:32,2023-04-13 12:43:40,kitchen,97
2023-04-13 12:43:55,2023-04-13 12:44:57,nurse station,97
2023-04-13 12:46:23,2023-04-13 12:48:17,nurse station,97
2023-04-13 12:48:23,2023-04-13 12:50:02,kitchen,97
2023-04-13 14:11:19,2023-04-13 14:11:57,cafeteria,97
2023-04-13 14:11:57,2023-04-13 14:24:56,kitchen,97
2023-04-13 14:24:57,2023-04-13 14:25:04,cafeteria,97
2023-04-13 14:25:05,2023-04-13 14:25:36,kitchen,97
2023-04-13 14:25:37,2023-04-13 14:26:36,cafeteria,97
2023-04-13 14:26:37,2023-04-13 14:27:04,kitchen,97
2023-04-13 14:27:04,2023-04-13 14:28:10,cafeteria,97
2023-04-13 14:28:10,2023-04-13 14:28:17,kitchen,97
2023-04-13 14:28:17,2023-04-13 14:28:30,cafeteria,97
2023-04-13 14:28:31,2023-04-13 14:28:56,kitchen,97
2023-04-13 14:28:57,2023-04-13 14:29:03,cafeteria,97
2023-04-13 14:29:03,2023-04-13 14:29:17,kitchen,97
2023-04-13 14:29:21,2023-04-13 14:29:21,cafeteria,97
2023-04-13 14:29:24,2023-04-13 14:29:58,nurse station,97
2023-04-13 14:30:01,2023-04-13 14:30:18,cafeteria,97
2023-04-13 14:30:19,2023-04-13 14:32:07,nurse station,97
2023-04-13 14:32:09,2023-04-13 14:32:54,cafeteria,97
2023-04-13 14:32:55,2023-04-13 14:33:43,nurse station,97
2023-04-13 14:33:45,2023-04-13 14:33:48,cafeteria,97
2023-04-13 14:33:56,2023-04-13 14:34:27,517,97
2023-04-13 14:34:33,2023-04-13 14:35:13,hallway,97
2023-04-13 14:35:20,2023-04-13 14:35:33,cafeteria,97
2023-04-13 14:35:34,2023-04-13 14:40:50,nurse station,97
2023-04-13 14:40:50,2023-04-13 14:41:41,cafeteria,97
2023-04-13 14:41:42,2023-04-13 14:41:47,nurse station,97
2023-04-13 14:41:47,2023-04-13 14:45:27,cafeteria,97
2023-04-13 14:45:29,2023-04-13 14:45:35,nurse station,97
2023-04-13 14:45:37,2023-04-13 14:45:51,cafeteria,97
2023-04-13 14:46:04,2023-04-13 14:49:42,501,97
2023-04-13 14:50:07,2023-04-13 14:50:27,cafeteria,97
2023-04-13 14:50:28,2023-04-13 14:50:59,cleaning,97
2023-04-13 14:51:08,2023-04-13 14:52:30,nurse station,97
2023-04-13 14:52:50,2023-04-13 14:58:22,513,97
2023-04-13 14:58:38,2023-04-13 14:59:03,cafeteria,97
2023-04-13 14:59:04,2023-04-13 15:00:05,cleaning,97
2023-04-13 15:00:12,2023-04-13 15:00:56,nurse station,97
2023-04-13 15:00:57,2023-04-13 15:01:39,cafeteria,97
2023-04-13 15:01:49,2023-04-13 15:08:24,503,97
2023-04-13 15:09:06,2023-04-13 15:09:10,hallway,97
2023-04-13 15:09:39,2023-04-13 15:10:08,nurse station,97
2023-04-13 15:10:15,2023-04-13 15:14:15,520,97
2023-04-13 15:14:28,2023-04-13 15:14:46,520,97
2023-04-13 15:15:12,2023-04-13 15:15:26,cafeteria,97
2023-04-13 15:15:36,2023-04-13 15:15:57,hallway,97
2023-04-13 15:16:01,2023-04-13 15:16:28,nurse station,97
2023-04-13 15:16:32,2023-04-13 15:20:36,510,97
2023-04-13 15:20:51,2023-04-13 15:20:53,hallway,97
2023-04-13 15:20:56,2023-04-13 15:21:16,cafeteria,97
2023-04-13 15:21:20,2023-04-13 15:21:42,hallway,97
2023-04-13 15:21:54,2023-04-13 15:22:40,hallway,97
2023-04-13 15:22:43,2023-04-13 15:28:17,522,97
2023-04-13 15:22:43,2023-04-13 15:28:17,kitchen,97
2023-04-13 15:28:21,2023-04-13 15:29:06,hallway,97
2023-04-13 15:33:25,2023-04-13 15:33:46,cafeteria,97
2023-04-13 15:33:51,2023-04-13 15:34:06,nurse station,97
2023-04-13 15:34:23,2023-04-13 15:39:30,cafeteria,97
2023-04-13 15:39:43,2023-04-13 15:40:14,nurse station,97
2023-04-13 15:40:18,2023-04-13 15:40:20,hallway,97
2023-04-13 15:40:25,2023-04-13 15:47:54,523,97
2023-04-13 15:48:07,2023-04-13 15:55:06,512,97
2023-04-13 15:55:16,2023-04-13 15:55:47,hallway,97
2023-04-13 15:55:58,2023-04-13 15:56:10,hallway,97
2023-04-13 15:56:15,2023-04-13 15:56:45,cafeteria,97
2023-04-13 15:56:49,2023-04-13 15:58:30,nurse station,97
2023-04-13 15:58:44,2023-04-13 16:00:07,nurse station,97
2023-04-13 16:00:08,2023-04-13 16:00:12,cafeteria,97
2023-04-13 16:00:13,2023-04-13 16:02:15,kitchen,97
2023-04-13 16:02:16,2023-04-13 16:02:42,cafeteria,97
2023-04-13 16:06:07,2023-04-13 16:06:38,cafeteria,97
2023-04-13 16:06:38,2023-04-13 16:15:03,nurse station,97
2023-04-13 16:15:09,2023-04-13 16:15:26,cafeteria,97
2023-04-13 16:15:42,2023-04-13 16:19:06,515,97
2023-04-13 16:19:25,2023-04-13 16:19:41,cafeteria,97
2023-04-13 16:19:41,2023-04-13 16:19:57,cleaning,97
